"_id","_labels","address","age","areaCode","badge_no","call_date","call_duration","call_time","call_type","charge","code","date","description","email_address","id","last_outcome","latitude","longitude","make","model","name","nhs_no","note","phoneNo","postcode","rank","reg","surname","type","year","_start","_end","_type","rel_type"
"0",":Person","","","","","","","","","","","","","","","","","","","","Todd","117-66-8129","","","","","","Hamilton","","",,,,
"1",":Location","178 Polding Street","","","","","","","","","","","","","","","53.530988","-2.61741","","","","","","","WN3 4NL","","","","","",,,,
"2",":Person","","","","","","","","","","","","","","","","","","","","Benjamin","991-70-5333","","","","","","Hamilton","","",,,,
"3",":Phone","","","","","","","","","","","","","","","","","","","","","","","0-(070)893-3322","","","","","","",,,,
"4",":Email","","","","","","","","","","","","","bhamilton3h@twitter.com","","","","","","","","","","","","","","","","",,,,
"5",":Person","","","","","","","","","","","","","","","","","","","","Nancy","620-83-1546","","","","","","Campbell","","",,,,
"6",":Location","6 Gypsy Lane","","","","","","","","","","","","","","","53.59882","-2.177916","","","","","","","OL11 3HA","","","","","",,,,
"7",":Phone","","","","","","","","","","","","","","","","","","","","","","","5-(997)640-5104","","","","","","",,,,
"8",":Email","","","","","","","","","","","","","ncampbell1@marriott.com","","","","","","","","","","","","","","","","",,,,
"9",":Person","","","","","","","","","","","","","","","","","","","","Todd","595-90-8809","","","","","","Garcia","","",,,,
"10",":Location","116 Myrtle Street","","","","","","","","","","","","","","","53.582711","-2.442103","","","","","","","BL1 3AH","","","","","",,,,
"11",":Phone","","","","","","","","","","","","","","","","","","","","","","","9-(882)417-7531","","","","","","",,,,
"12",":Email","","","","","","","","","","","","","tgarcia3@macromedia.com","","","","","","","","","","","","","","","","",,,,
"13",":Person","","","","","","","","","","","","","","","","","","","","Rachel","556-65-1110","","","","","","Turner","","",,,,
"14",":Phone","","","","","","","","","","","","","","","","","","","","","","","3-(989)030-3439","","","","","","",,,,
"15",":Email","","","","","","","","","","","","","rturner4@wsj.com","","","","","","","","","","","","","","","","",,,,
"17",":Location","53 Birch Lane","","","","","","","","","","","","","","","53.471473","-2.077441","","","","","","","SK16 5AP","","","","","",,,,
"18",":Phone","","","","","","","","","","","","","","","","","","","","","","","9-(184)752-7135","","","","","","",,,,
"19",":Email","","","","","","","","","","","","","mkelly5@symantec.com","","","","","","","","","","","","","","","","",,,,
"24",":Location","27 Maiden Close","","","","","","","","","","","","","","","53.50318","-2.105902","","","","","","","OL7 9PL","","","","","",,,,
"1323",":Officer","","","","80-1015383","","","","","","","","","","","","","","","","Sophronia","","","","","Sergeant","","Lineen","","",,,,
"1324",":Officer","","","","70-0643982","","","","","","","","","","","","","","","","Uri","","","","","Inspector","","Glossup","","",,,,
"1325",":Crime","","","","","","","","","","","24/08/2017","","","10305fdb9613b698a9fe8a26468564ebe15ba01eb870994739180ffc51440c31","Investigation complete; no suspect identified","","","","","","","","","","","","","Public order","",,,,
"1326",":Crime","","","","","","","","","","","15/08/2017","","","8dae6537bfb64a92cc91539ce9e76abf729f60592a9c503300905130afaacef4","Investigation complete; no suspect identified","","","","","","","","","","","","","Public order","",,,,
"1327",":Crime","","","","","","","","","","","31/08/2017","","","9bc0db533b9248a8b3a7ac151f273fe01f25ad72b394dd5cc6ef9bd6558eb707","Investigation complete; no suspect identified","","","","","","","","","","","","","Public order","",,,,
"1328",":Crime","","","","","","","","","","","7/08/2017","","","df4e954114d147be364d17d580cda1214ff694b614bdf76baa0a640d5bda74d3","Investigation complete; no suspect identified","","","","","","","","","","","","","Public order","",,,,
